id_offshore,geometry,composite_date,label,structure_id,latest_flag,composite_datetime_utc,composite_month_utc,longitude,latitude
2830,POINT (-0.265282 50.648932),1641000000000,wind,434822,Y,2022-01-01 00:00:00,2022-01,-0.265282,50.648932
2869,POINT (-3.631268 54.125451),1641000000000,wind,400342,Y,2022-01-01 00:00:00,2022-01,-3.631268,54.125451
2959,POINT (11.203391 56.67128),1641000000000,wind,184709,Y,2022-01-01 00:00:00,2022-01,11.203391,56.67128
2960,POINT (-3.633892 54.038921),1641000000000,wind,214560,Y,2022-01-01 00:00:00,2022-01,-3.633892,54.038921
3034,POINT (11.206752 56.666265),1641000000000,wind,70660,Y,2022-01-01 00:00:00,2022-01,11.206752,56.666265
3124,POINT (11.211681 56.561382),1641000000000,wind,263400,Y,2022-01-01 00:00:00,2022-01,11.211681,56.561382
3156,POINT (-0.277686 50.657576),1641000000000,wind,486502,Y,2022-01-01 00:00:00,2022-01,-0.277686,50.657576
3173,POINT (21.113501 63.987186),1641000000000,unknown,3342,Y,2022-01-01 00:00:00,2022-01,21.113501,63.987186
3194,POINT (21.14194 60.481322),1633050000000,unknown,192585,Y,2021-10-01 00:00:00,2021-10,21.14194,60.481322
3213,POINT (11.21379 56.656336),1641000000000,wind,269897,Y,2022-01-01 00:00:00,2022-01,11.21379,56.656336
3257,POINT (11.217632 56.601048),1641000000000,wind,256302,Y,2022-01-01 00:00:00,2022-01,11.217632,56.601048
3345,POINT (21.26067 61.102302),1641000000000,unknown,226090,Y,2022-01-01 00:00:00,2022-01,21.26067,61.102302
3470,POINT (-0.304724 50.681824),1641000000000,wind,148409,Y,2022-01-01 00:00:00,2022-01,-0.304724,50.681824
3478,POINT (-3.648104 54.110255),1641000000000,wind,424379,Y,2022-01-01 00:00:00,2022-01,-3.648104,54.110255
3486,POINT (-3.648178 53.439942),1641000000000,wind,204447,Y,2022-01-01 00:00:00,2022-01,-3.648178,53.439942
3516,POINT (-3.651773 53.371607),1641000000000,wind,64677,Y,2022-01-01 00:00:00,2022-01,-3.651773,53.371607
3544,POINT (11.225019 56.585757),1641000000000,wind,427020,Y,2022-01-01 00:00:00,2022-01,11.225019,56.585757
3597,POINT (11.232036 56.569552),1641000000000,wind,253586,Y,2022-01-01 00:00:00,2022-01,11.232036,56.569552
3644,POINT (22.321506 65.109476),1641000000000,unknown,403065,Y,2022-01-01 00:00:00,2022-01,22.321506,65.109476
3654,POINT (22.750523 65.329565),1641000000000,unknown,366093,Y,2022-01-01 00:00:00,2022-01,22.750523,65.329565
3753,POINT (11.243499 56.536095),1641000000000,wind,98386,Y,2022-01-01 00:00:00,2022-01,11.243499,56.536095
3762,POINT (24.095566 65.385047),1641000000000,unknown,79907,Y,2022-01-01 00:00:00,2022-01,24.095566,65.385047
3871,POINT (24.170344 59.926809),1641000000000,unknown,472159,Y,2022-01-01 00:00:00,2022-01,24.170344,59.926809
3908,POINT (-0.322392 50.646837),1641000000000,wind,301677,Y,2022-01-01 00:00:00,2022-01,-0.322392,50.646837
3935,POINT (-0.324581 50.653635),1641000000000,wind,132141,Y,2022-01-01 00:00:00,2022-01,-0.324581,50.653635
3939,POINT (-0.325371 50.685568),1641000000000,wind,179233,Y,2022-01-01 00:00:00,2022-01,-0.325371,50.685568
3966,POINT (-0.328825 50.667311),1641000000000,wind,243156,Y,2022-01-01 00:00:00,2022-01,-0.328825,50.667311
4011,POINT (6.432203 54.014361),1641000000000,wind,134284,Y,2022-01-01 00:00:00,2022-01,6.432203,54.014361
4139,POINT (24.445674 58.084348),1601510000000,unknown,159724,Y,2020-10-01 00:00:00,2020-10,24.445674,58.084348
4377,POINT (25.022271 60.118273),1641000000000,unknown,153867,Y,2022-01-01 00:00:00,2022-01,25.022271,60.118273
4526,POINT (6.445053 53.949052),1641000000000,wind,532782,Y,2022-01-01 00:00:00,2022-01,6.445053,53.949052
4571,POINT (6.448107 54.001235),1641000000000,wind,472189,Y,2022-01-01 00:00:00,2022-01,6.448107,54.001235
4682,POINT (27.218374 70.776668),1638320000000,unknown,4435,Y,2021-12-01 00:00:00,2021-12,27.218374,70.776668
4744,POINT (12.763882 55.514054),1641000000000,wind,60335,Y,2022-01-01 00:00:00,2022-01,12.763882,55.514054
4785,POINT (8.2341 56.672535),1641000000000,wind,478789,Y,2022-01-01 00:00:00,2022-01,8.2341,56.672535
4838,POINT (8.251825 56.677127),1641000000000,wind,314737,Y,2022-01-01 00:00:00,2022-01,8.251825,56.677127
4851,POINT (6.453025 53.694821),1641000000000,wind,313056,Y,2022-01-01 00:00:00,2022-01,6.453025,53.694821
4883,POINT (6.45515 53.689583),1641000000000,wind,222926,Y,2022-01-01 00:00:00,2022-01,6.45515,53.689583
4935,POINT (12.776327 55.518247),1641000000000,wind,174944,Y,2022-01-01 00:00:00,2022-01,12.776327,55.518247
4971,POINT (1.721633 60.115076),1625100000000,oil,264559,Y,2021-07-01 00:00:00,2021-07,1.721633,60.115076
4977,POINT (1.732838 58.583382),1641000000000,oil,285272,Y,2022-01-01 00:00:00,2022-01,1.732838,58.583382
5028,POINT (1.738925 54.477902),1641000000000,oil,419865,Y,2022-01-01 00:00:00,2022-01,1.738925,54.477902
5077,POINT (1.835314 57.01098),1619830000000,oil,155462,Y,2021-05-01 00:00:00,2021-05,1.835314,57.01098
5152,POINT (1.911795 57.192632),1596240000000,oil,82548,Y,2020-08-01 00:00:00,2020-08,1.911795,57.192632
