id_obs,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
21,4040470000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2006776,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,Myliobatis aquila,,SPECIES,"Myliobatis aquila (Linnaeus, 1758)","Myliobatis aquila (Linnaeus, 1758)","(Linnaeus, 1758)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.64,0.04,707,,,,,,2016-10-05,5,10,2016,2419310,2419310,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2006776,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:38.409Z,,RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
22,1501410000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:1542959,Animalia,Chordata,Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo,Torpedo torpedo,,SPECIES,"Torpedo torpedo (Linnaeus, 1758)","Torpedo torpedo (Linnaeus, 1758)","(Linnaeus, 1758)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.87,0.11,707,,,,,,2012-08-21,21,8,2012,5215534,5215534,HUMAN_OBSERVATION,BDBCV,BDBCV-General,1542959,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:03.002Z,,GEODETIC_DATUM_ASSUMED_WGS84
23,4853740000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2701967,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae,Heptranchias,Heptranchias perlo,,SPECIES,"Heptranchias perlo (Bonnaterre, 1788)","Heptranchias perlo (Bonnaterre, 1788)","(Bonnaterre, 1788)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.66,0.55,707,,,,,,2018-02-24,24,2,2018,2420586,2420586,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2701967,,J. Guallart Furió,,CC_BY_NC_4_0,,J. Guallart Furió,,native,2026-03-03T21:34:39.895Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_COORDINATE_MISMATCH
24,1501410000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:1542793,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,Myliobatis aquila,,SPECIES,"Myliobatis aquila (Linnaeus, 1758)","Myliobatis aquila (Linnaeus, 1758)","(Linnaeus, 1758)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.53,-0.11,707,,,,,,2012-07-12,12,7,2012,2419310,2419310,HUMAN_OBSERVATION,BDBCV,BDBCV-General,1542793,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:02.985Z,,RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
25,4040460000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2006938,Animalia,Chordata,Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo,Torpedo torpedo,,SPECIES,"Torpedo torpedo (Linnaeus, 1758)","Torpedo torpedo (Linnaeus, 1758)","(Linnaeus, 1758)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.64,0.04,707,,,,,,2016-10-05,5,10,2016,5215534,5215534,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2006938,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:38.409Z,,RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
26,4041000000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2278188,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,Myliobatis aquila,,SPECIES,"Myliobatis aquila (Linnaeus, 1758)","Myliobatis aquila (Linnaeus, 1758)","(Linnaeus, 1758)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.87,0,707,,,,,,2019-06,,6,2019,2419310,2419310,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2278188,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:38.904Z,,GEODETIC_DATUM_ASSUMED_WGS84
27,1501410000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:1542955,Animalia,Chordata,Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo,Torpedo torpedo,,SPECIES,"Torpedo torpedo (Linnaeus, 1758)","Torpedo torpedo (Linnaeus, 1758)","(Linnaeus, 1758)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.63,-0.01,707,,,,,,2012-07-11,11,7,2012,5215534,5215534,HUMAN_OBSERVATION,BDBCV,BDBCV-General,1542955,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:02.986Z,,RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
28,1501710000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:1853226,Animalia,Chordata,Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo,Torpedo marmorata,,SPECIES,"Torpedo marmorata Risso, 1810","Torpedo marmorata Risso, 1810","Risso, 1810",ES,Cabo Huertas,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.36,-0.4,707,,,,,,2015-07-07,7,7,2015,5215518,5215518,HUMAN_OBSERVATION,BDBCV,BDBCV-General,1853226,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:38.168Z,,GEODETIC_DATUM_ASSUMED_WGS84
29,4041000000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2278232,Animalia,Chordata,Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo,Torpedo marmorata,,SPECIES,"Torpedo marmorata Risso, 1810","Torpedo marmorata Risso, 1810","Risso, 1810",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.84,0.13,707,,,,,,2019-03,,3,2019,5215518,5215518,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2278232,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:38.904Z,,GEODETIC_DATUM_ASSUMED_WGS84
30,4040460000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2008395,Animalia,Chordata,Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo,Torpedo torpedo,,SPECIES,"Torpedo torpedo (Linnaeus, 1758)","Torpedo torpedo (Linnaeus, 1758)","(Linnaeus, 1758)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.64,0.06,707,,,,,,2016-10-05,5,10,2016,5215534,5215534,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2008395,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:38.649Z,,RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
31,1501410000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:1542893,Animalia,Chordata,Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo,Torpedo marmorata,,SPECIES,"Torpedo marmorata Risso, 1810","Torpedo marmorata Risso, 1810","Risso, 1810",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.44,-0.35,707,,,,,,2012-09-25,25,9,2012,5215518,5215518,HUMAN_OBSERVATION,BDBCV,BDBCV-General,1542893,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:37.193Z,,GEODETIC_DATUM_ASSUMED_WGS84
