id_obs,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
959,1501580000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:1720095,Animalia,Cnidaria,Anthozoa,,Cerianthidae,Cerianthus,Cerianthus membranaceus,,SPECIES,"Cerianthus membranaceus (Gmelin, 1791)",Cerianthus membranaceus,,ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.89,0.01,707,,,,,,2013-08-22,22,8,2013,5841862,5841862,HUMAN_OBSERVATION,BDBCV,BDBCV-General,1720095,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:35.068Z,,GEODETIC_DATUM_ASSUMED_WGS84
960,4040570000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2140804,Animalia,Cnidaria,Anthozoa,,Cerianthidae,Cerianthus,Cerianthus membranaceus,,SPECIES,"Cerianthus membranaceus (Gmelin, 1791)",Cerianthus membranaceus,,ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.12,-0.58,707,,,,,,2018-06-19,19,6,2018,5841862,5841862,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2140804,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:46.433Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_COORDINATE_MISMATCH
961,4040520000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2078821,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Tridentata,Tridentata perpusilla,,SPECIES,"Tridentata perpusilla (Stechow, 1919)","Tridentata perpusilla (Stechow, 1919)","(Stechow, 1919)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.67,0.12,707,,,,,,2017-07-20,20,7,2017,11360452,11360452,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2078821,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:55.057Z,,GEODETIC_DATUM_ASSUMED_WGS84
962,1501610000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:1752717,Animalia,Cnidaria,Hydrozoa,Leptothecata,Plumulariidae,Monotheca,Monotheca obliqua,,SPECIES,"Plumularia obliqua (Johnston, 1847)","Plumularia obliqua (Thompson, 1844)","(Thompson, 1844)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.52,-0.16,707,,,,,,2014-07-17,17,7,2014,2266999,5185801,HUMAN_OBSERVATION,BDBCV,BDBCV-General,1752717,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:45.643Z,,GEODETIC_DATUM_ASSUMED_WGS84
963,4040700000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2659483,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Physaliidae,Physalia,Physalia physalis,,SPECIES,"Physalia physalis (Linnaeus, 1758)",Physalia physalis,,ES,,Alicante/Alacant,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,37.97,-0.69,707,,,,,,2013-05-29,29,5,2013,2264734,2264734,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2659483,,Observadores del Mar,,CC_BY_NC_4_0,,Observadores del Mar,,native,2026-03-03T21:34:57.487Z,,GEODETIC_DATUM_ASSUMED_WGS84
964,4040570000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2145999,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia acacia,,SPECIES,"Aglaophenia acacia Allman, 1883",Aglaophenia acacia,,ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.62,0.02,707,,,,,,2018-06-27,27,6,2018,2267418,2267418,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2145999,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:46.442Z,,GEODETIC_DATUM_ASSUMED_WGS84
965,4040520000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2085003,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Tridentata,Tridentata perpusilla,,SPECIES,"Tridentata perpusilla (Stechow, 1919)","Tridentata perpusilla (Stechow, 1919)","(Stechow, 1919)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.86,0.09,707,,,,,,2017-07-24,24,7,2017,11360452,11360452,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2085003,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:55.064Z,,GEODETIC_DATUM_ASSUMED_WGS84
966,4040570000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2146439,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia acacia,,SPECIES,"Aglaophenia acacia Allman, 1883",Aglaophenia acacia,,ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.59,-0.02,707,,,,,,2018-06-27,27,6,2018,2267418,2267418,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2146439,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:46.442Z,,GEODETIC_DATUM_ASSUMED_WGS84
967,4041040000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2685030,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Campanularia,Campanularia breviscyphia,,SPECIES,"Campanularia breviscyphia Sars, 1857","Campanularia breviscyphia (Stechow, 1919)","(Stechow, 1919)",ES,,Alicante/Alacant,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.41,-0.39,707,,,,,,2022,,,2022,5186137,5186137,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2685030,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:49.157Z,,GEODETIC_DATUM_ASSUMED_WGS84
968,4040460000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2006830,Animalia,Cnidaria,Anthozoa,,Cerianthidae,Cerianthus,Cerianthus membranaceus,,SPECIES,"Cerianthus membranaceus (Gmelin, 1791)",Cerianthus membranaceus,,ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.64,0.04,707,,,,,,2016-10-05,5,10,2016,5841862,5841862,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2006830,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:46.115Z,,RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
