"distance_port_min","distance_infra_min","phylum"
27.810655,1.861865,Arthropoda
10.910379,0.348068,Arthropoda
8.195264,0.138346,Arthropoda
4.711960,0.475884,Cnidaria
9.418445,0.094556,Arthropoda
12.793791,0.550908,Arthropoda
4.880390,0.332877,Cnidaria
2.354629,0.198994,Arthropoda
13.935429,0.236736,Arthropoda
10.324461,0.347980,Arthropoda
4.778430,0.417436,Cnidaria
8.973434,0.132985,Arthropoda
2.354629,0.198994,Arthropoda
5.111249,0.072199,Cnidaria
7.272406,1.062259,Arthropoda
4.746316,0.480520,Cnidaria
9.409791,0.723358,Arthropoda
10.421175,0.252562,Arthropoda
9.261455,0.050472,Arthropoda
9.902727,0.257229,Arthropoda
2.354629,0.198994,Arthropoda
4.693220,0.493650,Cnidaria
6.207662,0.206908,Arthropoda
4.824296,0.408833,Cnidaria
5.401293,0.044391,Arthropoda
5.360125,0.316617,Cnidaria
28.380927,0.012058,Arthropoda
5.119154,0.070590,Cnidaria
9.442375,0.139506,Arthropoda
6.376003,0.105562,Arthropoda
4.746316,0.480520,Cnidaria
9.902727,0.257229,Arthropoda
24.349921,1.698685,Arthropoda
10.938555,0.311153,Arthropoda
5.888250,0.006553,Arthropoda
5.309343,0.356200,Cnidaria
1.639077,0.021458,Arthropoda
7.881376,0.323038,Arthropoda
6.875143,0.961559,Arthropoda
4.914493,0.296962,Cnidaria
11.085465,0.203434,Arthropoda
4.824296,0.408833,Cnidaria
8.307059,0.012774,Arthropoda
4.965236,0.231897,Cnidaria
1.639077,0.021458,Arthropoda
7.648688,0.155118,Arthropoda
3.925387,0.164760,Cnidaria
10.616369,0.360218,Arthropoda
5.973707,0.029000,Arthropoda
3.064085,0.094232,Arthropoda
10.255011,0.758571,Arthropoda
10.749618,0.022596,Arthropoda
5.094515,0.018669,Cnidaria
5.099371,0.033228,Cnidaria
5.389456,0.448490,Cnidaria
7.773145,0.465090,Arthropoda
4.724296,0.499065,Cnidaria
8.190779,0.147738,Arthropoda
9.310412,0.207088,Arthropoda
3.064085,0.094232,Arthropoda
5.973707,0.029000,Arthropoda
6.951133,0.642441,Arthropoda
3.507755,0.372467,Cnidaria
28.010932,1.169609,Arthropoda
11.064473,0.120457,Arthropoda
14.077842,0.366866,Arthropoda
4.713603,0.475471,Cnidaria
6.207662,0.206908,Arthropoda
4.714250,0.500977,Cnidaria
9.998849,0.015102,Arthropoda
27.428173,2.126586,Arthropoda
7.290447,0.717311,Arthropoda
15.755756,0.542383,Arthropoda
6.375510,0.107439,Arthropoda
8.845678,0.009224,Arthropoda
6.375510,0.107439,Arthropoda
10.749829,0.053933,Arthropoda
6.375510,0.107439,Arthropoda
27.565026,1.950537,Arthropoda
9.357504,0.129897,Arthropoda
9.409791,0.723358,Arthropoda
11.085465,0.203434,Arthropoda
